transportador_cpf_cnpj;tipo_conjunto;cavalo_placa;primeira_carreta_placa;segunda_carreta_placa;dolly_placa;prancha_placa;estados;comprimento;largura;altura;peso_total;observacoes
80432693000120;BITREM 9 eixos;RDT7J15;RAI1B75;RAI1B55;;;BA,DNIT,MG,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT8D06;RAJ9A15;RAJ9A25;;;BA,DNIT,GO,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;REA3H84;RAI1A95;RAI1A25;;;BA,DNIT,MG,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2G84;RLA0E82;RLA0G22;;;BA,DNIT,MG,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLE9I47;RAI-5018;RAI-5258;;;BA,DNIT,GO,PR,SP;25.8;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1I34;RLH3I62;RLH3I42;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1I34;RLH3I62;RLH3I42;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1J34;RLA0F82;RLA0G62;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2D94;RLK0A53;RLJ9D43;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2F84;RLH3I92;RLH3I72;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2G14;RLK1F53;RLK1E73;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0D18;RXP-6I18;RXP-6I38;;;BA,DNIT,GO,MG,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXX8E69;RDV5H40;RDV6D70;;;BA,DNIT,MG,MS,PA,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYW1C65;QII-5444;QII-5394;;;BA,DNIT,PE,PR,SP;25.5;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYX4D36;RDV6F06;RDV5J86;;;BA,DNIT,GO,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYX4E36;QIM-7914;QIM-8414;;;BA,DNIT,GO,MG,PA,PE,PR,SP;25.5;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYX8H05;RAG-3780;RAG-3790;;;BA,DNIT,PE,PR,SP,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY1C25;RAG-3830;RAG-3840;;;BA,DNIT,PA,PE,PR,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY2D95;RLK1D93;RLK4C23;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3A75;QJX-8053;QJX-8083;;;BA,DNIT,MG,PA,PE,PR,SP;25.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3D05;QJX-2790;QJX-3480;;;BA,DNIT,MG,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3D35;QJO-3066;QJO-2736;;;BA,DNIT,MG,PA,PE,PR,SP,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3D65;RDT7D73;RDT7E03;;;BA,DNIT,MG,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3E35;RLH3J32;RLH3J12;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3E75;RDV5J06;RDV6F36;;;BA,DNIT,MG,PA,PE,PR,SP,TO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3E85;QJX-2670;QJW-6350;;;BA,DNIT,MG,PA,PE,PR,SP,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3F65;RLC0H16;RLC0H46;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3F85;RLJ9G36;RLJ4B36;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3G05;QJY-6360;QJX-4150;;;BA,DNIT,MG,PA,PE,PR,SP,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3G45;QJX-3313;QJX-3893;;;BA,DNIT,MG,PA,PE,PR,SP;25.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3G95;RLF8F97;RLF8G97;;;BA,DNIT,MG,PA,PE,PR,SP,TO;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3I06;RAJ9B35;RAJ9B45;;;BA,DNIT,GO,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3I16;RAJ9B85;RAJ9C45;;;BA,DNIT,GO,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3I36;QJC-9553;QJD-2753;;;BA,DNIT,GO,MG,PE,PR,SP;25.5;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3I66;RAI-4858;RAI-4828;;;BA,DNIT,PR;25.8;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYZ8A65;RLF-6D90;RLF-6B30;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXC2A24;REA7G24;REA7G14;;;BA,DNIT,MG,MS,PA,PE,PR,SP,TO;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXC2A44;REA7F64;REA7F94;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXC2A64;REA7F84;REA7F54;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXC2A74;REA7F34;RLE4A27;;;BA,MS,PA,PR;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8C14;RLF8G37;RLF8G57;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8C24;RAB-5185;RAB-4785;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8D64;RLK9B02;RLK9B12;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8E74;QJO-1894;QJO-1884;;;BA,DNIT,MG,PA,PE,PR,SP;25.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8F74;REA7G44;REA7G34;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8G74;RAB-5285;RAB-5065;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD9A64;RAB-5125;RAB-5075;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD9C64;RLF7E37;RLF8F77;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD9D34;RAJ8I65;RAJ8I85;;;BA,DNIT,MG,PA,PE,PR,SP,TO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXF2E25;RLC0I26;RLC0I56;;;BA,DNIT,PA,PE,PR,SP,TO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXF5G16;RAI0H85;RAI0E25;;;BA,GO,PE,PR,SP;25.3;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXF5G56;RLI1A67;RLI1A77;;;BA,DNIT,GO,MG,PE,PR,SP,TO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1G64;QJX-3270;QJX-3870;;;BA,DNIT,MG,PA,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1G84;QJO-3156;QJO-2976;;;BA,DNIT,MG,PA,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1H14;QJX-2460;QJX-1650;;;BA,DNIT,MG,PA,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1I04;QJX-3760;QJW-9470;;;BA,DNIT,MG,PA,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1J14;RAJ8H35;RAJ8J55;;;BA,DNIT,MG,PA,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXJ8D64;RLA0E18;RLA0D78;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXJ8D74;REA7G04;REA7F74;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT0G99;RLI1A87;RLI1B27;;;DNIT;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT0J89;RLI0I47;RLI0I87;;;DNIT;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT7J15;RAI1B75;RAI1B55;;;BA,DNIT,MG,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT8D06;RAJ9A15;RAJ9A25;;;BA,DNIT,GO,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT8F26;RDV6G36;RDV6H26;;;DNIT,GO,MG;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDY0J29;RDZ4E19;RDZ3H29;;;DNIT;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;REA3B54;QIS2343;QIS2093;;;DNIT;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;REA3B84;RAJ9C75;RAJ9C85;;;DNIT,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;REA3H84;RAI1A95;RAI1A25;;;BA,DNIT,MG,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2E64;RDX4E10;RDX4C90;;;DNIT,MG,PA,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2F14;RDX3I70;RDX3I30;;;DNIT,MG,PA,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2F44;RDX4F60;RDX4E80;;;DNIT,MG,PA,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2F64;RDX4C60;RDX4C10;;;DNIT,PA,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2F94;RLA0D02;RLA0D62;;;DNIT,MG;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2G24;RLA0E32;RLA0E02;;;DNIT,MG,PA;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2G84;RLA0E82;RLA0G22;;;BA,DNIT,MG,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY8C68;RLI0F47;RLI0H37;;;DNIT,GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY8E18;RLI1A07;RLI1A37;;;DNIT,GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY8E38;RLH9F97;RLH9F77;;;DNIT,GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY8E88;RLH9G87;RLH6D67;;;DNIT,GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLE9I47;RAI-5018;RAI-5258;;;BA,DNIT,GO,PR,SP;25.8;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLG9G45;RLJ4I46;RLJ4I56;;;DNIT,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLG9H15;RLJ5C66;RLJ5C36;;;DNIT,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLG9I45;RLJ5A96;RLJ5A36;;;DNIT,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLH0C35;RLJ4J26;RLJ4J46;;;DNIT,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLH0D35;RLJ5B46;RLJ5B06;;;DNIT;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1I34;RLH3I62;RLH3I42;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1I34;RLH3I62;RLH3I42;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1J34;RLA0F82;RLA0G62;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2D94;RLK0A53;RLJ9D43;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2F84;RLH3I92;RLH3I72;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2G14;RLK1F53;RLK1E73;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G06;RLJ5C06;RLJ5B66;;;DNIT,GO,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G36;RLJ4J86;RLJ4J96;;;DNIT,GO,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G46;RLJ4I06;RLJ4I16;;;DNIT,GO,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0D18;RXP-6I18;RXP-6I38;;;BA,DNIT,GO,MG,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXX8E69;RDV5H40;RDV6D70;;;BA,DNIT,MG,MS,PA,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYW1C65;QII-5444;QII-5394;;;BA,DNIT,PE,PR,SP;25.5;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYX4D36;RDV6F06;RDV5J86;;;BA,DNIT,GO,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYX4E36;QIM-7914;QIM-8414;;;BA,DNIT,GO,MG,PA,PE,PR,SP;25.5;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYX8H05;RAG-3780;RAG-3790;;;BA,DNIT,PE,PR,SP,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY1C25;RAG-3830;RAG-3840;;;BA,DNIT,PA,PE,PR,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY2D95;RLK1D93;RLK4C23;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3A75;QJX-8053;QJX-8083;;;BA,DNIT,MG,PA,PE,PR,SP;25.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3D05;QJX-2790;QJX-3480;;;BA,DNIT,MG,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3D35;QJO-3066;QJO-2736;;;BA,DNIT,MG,PA,PE,PR,SP,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3D65;RDT7D73;RDT7E03;;;BA,DNIT,MG,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3E35;RLH3J32;RLH3J12;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3E75;RDV5J06;RDV6F36;;;BA,DNIT,MG,PA,PE,PR,SP,TO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3E85;QJX-2670;QJW-6350;;;BA,DNIT,MG,PA,PE,PR,SP,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3F65;RLC0H16;RLC0H46;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3F85;RLJ9G36;RLJ4B36;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3G05;QJY-6360;QJX-4150;;;BA,DNIT,MG,PA,PE,PR,SP,TO;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3G45;QJX-3313;QJX-3893;;;BA,DNIT,MG,PA,PE,PR,SP;25.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3G95;RLF8F97;RLF8G97;;;BA,DNIT,MG,PA,PE,PR,SP,TO;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3I06;RAJ9B35;RAJ9B45;;;BA,DNIT,GO,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3I16;RAJ9B85;RAJ9C45;;;BA,DNIT,GO,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3I36;QJC-9553;QJD-2753;;;BA,DNIT,GO,MG,PE,PR,SP;25.5;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYY3I66;RAI-4858;RAI-4828;;;BA,DNIT,PR;25.8;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RYZ8A65;RLF-6D90;RLF-6B30;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXC2A24;REA7G24;REA7G14;;;BA,DNIT,MG,MS,PA,PE,PR,SP,TO;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXC2A44;REA7F64;REA7F94;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXC2A64;REA7F84;REA7F54;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8C14;RLF8G37;RLF8G57;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8C24;RAB-5185;RAB-4785;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8D64;RLK9B02;RLK9B12;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8E74;QJO-1894;QJO-1884;;;BA,DNIT,MG,PA,PE,PR,SP;25.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8F74;REA7G44;REA7G34;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD8G74;RAB-5285;RAB-5065;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD9A64;RAB-5125;RAB-5075;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD9C64;RLF7E37;RLF8F77;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXD9D34;RAJ8I65;RAJ8I85;;;BA,DNIT,MG,PA,PE,PR,SP,TO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXF2E25;RLC0I26;RLC0I56;;;BA,DNIT,PA,PE,PR,SP,TO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXF5G26;RAB-5335;RAB-3045;;;DNIT,GO,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXF5G56;RLI1A67;RLI1A77;;;BA,DNIT,GO,MG,PE,PR,SP,TO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1G64;QJX-3270;QJX-3870;;;BA,DNIT,MG,PA,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1G84;QJO-3156;QJO-2976;;;BA,DNIT,MG,PA,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1H14;QJX-2460;QJX-1650;;;BA,DNIT,MG,PA,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1I04;QJX-3760;QJW-9470;;;BA,DNIT,MG,PA,PE,PR,SP;29.7;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXG1J14;RAJ8H35;RAJ8J55;;;BA,DNIT,MG,PA,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXJ8D64;RLA0E18;RLA0D78;;;BA,DNIT,MG,PA,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;SXJ8D74;REA7G04;REA7F74;;;BA,DNIT,MG,PA,PE,PR,SP;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT8D06;RAJ9A15;RAJ9A25;;;BA,DNIT,GO,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT8F26;RDV6G36;RDV6H26;;;DNIT,GO,MG;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY8C68;RLI0F47;RLI0H37;;;DNIT,GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY8E18;RLI1A07;RLI1A37;;;DNIT,GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY8E38;RLH9F97;RLH9F77;;;DNIT,GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY8E88;RLH9G87;RLH6D67;;;DNIT,GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLE4E07;RDV6B56;RDV6C76;;;GO;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLE9I47;RAI-5018;RAI-5258;;;BA,DNIT,GO,PR,SP;25.8;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLE9I77;REA7F34;RLE4A27;;;GO;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLE9I97;QJX6033;QJX8203;;;GO,PA;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLE9J27;MME0684;MME0644;;;GO,PA;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G06;RLJ5C06;RLJ5B66;;;DNIT,GO,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G36;RLJ4J86;RLJ4J96;;;DNIT,GO,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G46;RLJ4I06;RLJ4I16;;;DNIT,GO,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4H16;QIJ7085;QIM8905;;;GO;25.5;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXO9I78;RLP9G76;RLP9F36;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXO9J08;RXS2B67;RXS2B47;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXO9J78;RLP8J76;RLP8I86;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0A28;RLF7J20;RLF7I90;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0A68;RLF8F10;RLF8E40;;;GO,MG;25.4;2.6;4.4;74.0;renovação
